A||B||C||D||E||F||G
2018-12-07 15:15:00||87.26||87.33||86.5||87.1||5123.97219||90.0
2018-12-07 15:30:00||87.08||87.12||86.46||86.69||4891.17885||90.0
2018-12-07 15:45:00||86.67||87.05||85.97||86.25||6872.42459||87.0
2018-12-07 16:00:00||86.27||87.19||85.92||86.84||6064.44948||87.0
2018-12-07 16:15:00||86.85||87.3||85.87||85.95||5780.84167||87.0
2018-12-07 16:30:00||85.95||85.97||83.74||84.6||14710.39411||87.0
2018-12-07 16:45:00||84.61||85.2||83.76||84.55||6511.99231||87.0
2018-12-07 17:00:00||84.56||84.7||83.55||84.32||7354.37658||87.0
2018-12-07 17:15:00||84.31||85.05||84.14||85.0||9627.10306||87.0
2018-12-07 17:30:00||85.0||85.45||84.52||84.9||4846.30867||87.0
2018-12-07 17:45:00||84.9||84.94||84.0||84.36||5452.2118||87.0
2018-12-07 18:00:00||84.36||84.96||84.27||84.54||3103.8983||87.0
2018-12-07 18:15:00||84.53||85.3||84.53||84.6||3379.98005||87.0
2018-12-07 18:30:00||84.62||84.77||83.95||84.27||3647.07852||87.0
2018-12-07 18:45:00||84.26||84.53||84.1||84.52||2561.99787||87.0
2018-12-07 19:00:00||84.52||85.03||84.28||84.86||3647.9279||87.0
2018-12-07 19:15:00||84.88||86.79||84.78||85.53||14500.89215||87.0
2018-12-07 19:30:00||85.55||86.0||85.37||85.86||4443.40189||87.0
2018-12-07 19:45:00||85.87||85.87||85.54||85.79||2913.50168||87.0
2018-12-07 20:00:00||85.79||85.84||84.5||85.62||8426.69148||87.0
2018-12-07 20:15:00||85.61||85.99||85.08||85.35||5563.98279||87.0
2018-12-07 20:30:00||85.35||85.54||85.08||85.37||3313.14022||87.0
2018-12-07 20:45:00||85.37||85.76||85.21||85.26||3980.87525||87.0
2018-12-07 21:00:00||85.25||85.36||84.72||85.04||5344.60365||87.0
2018-12-07 21:15:00||85.05||86.1||84.9||85.95||6207.65045||87.0
2018-12-07 21:30:00||85.93||86.51||85.64||86.46||4479.11658||87.0
2018-12-07 21:45:00||86.47||86.63||86.0||86.24||4894.90819||87.0
2018-12-07 22:00:00||86.22||87.5||86.22||87.09||9196.33037||87.0
2018-12-07 22:15:00||87.0||87.36||86.03||86.94||5787.292||87.0
2018-12-07 22:30:00||86.94||87.7||86.91||87.64||7287.96565||87.0
2018-12-07 22:45:00||87.64||88.34||87.18||87.45||10384.67556||90.0
2018-12-07 23:00:00||87.45||87.72||86.96||87.09||7138.57005||90.0
2018-12-07 23:15:00||87.08||87.2||86.64||86.94||5332.57538||90.0
2018-12-07 23:30:00||86.94||87.55||86.0||86.54||7899.67966||87.0
2018-12-07 23:45:00||86.55||87.5||85.03||85.03||15153.0615||87.0
