A||G||H||I||J||K||currPrice||stopPrice||operDirection||operDescription
2018-12-04 07:30:00||3454.1509780433926||4176.277171213902||-722.1261931705094||-354.3010929175247||-735.6502005059693||0.0||0.0|| || 
2018-12-04 07:45:00||3219.058304498255||4009.5935733462056||-790.5352688479506||-441.54792810360993||-697.9746814886814||0.0||0.0|| || 
2018-12-04 08:00:00||3115.9879930369852||3901.4089590242643||-785.420965987279||-510.3225356803438||-550.1968606138705||0.0||0.0|| || 
2018-12-04 08:15:00||3187.4481110312954||3877.636351689134||-690.1882406578384||-546.2956766758427||-287.7851279639913||0.0||0.0|| || 
2018-12-04 08:30:00||3115.3185554880192||3791.7822515640128||-676.4636960759935||-572.3292805558729||-208.26883104024137||0.0||0.0|| || 
2018-12-04 08:45:00||2973.110262336016||3673.2031699666786||-700.0929076306625||-597.8820059708307||-204.42180331966347||0.0||0.0|| || 
2018-12-04 09:00:00||2713.9232819766294||3496.550704783962||-782.6274228073326||-634.831089338131||-295.592666938403||0.0||0.0|| || 
2018-12-04 09:15:00||2600.6546324417636||3384.041545911076||-783.3869134693123||-664.5422541643673||-237.68931860989005||0.0||0.0|| || 
2018-12-04 09:30:00||2864.283041296877||3452.9450825102554||-588.6620412133784||-649.3662115741695||121.40834072158214||0.0||0.0|| || 
2018-12-04 09:45:00||2754.402047251204||3356.4348230650508||-602.0327758138469||-639.899524422105||75.73349721651607||0.0||0.0|| || 
2018-12-04 10:00:00||2494.4865292125573||3186.695293949121||-692.2087647365638||-650.3613724849968||-83.69478450313409||0.0||0.0|| || 
2018-12-04 10:15:00||2601.63669702601||3187.011392175112||-585.3746951491021||-637.3640370178177||103.97868373743131||0.0||0.0|| || 
2018-12-04 10:30:00||3220.914095945085||3441.820903125104||-220.90680718001886||-554.072591050258||666.3315677404782||0.0||0.0|| || 
2018-12-04 10:45:00||3837.6289719535334||3722.3942280787996||115.2347438747338||-420.21112406525964||1070.8917358799868||0.0||0.0|| || 
2018-12-04 11:00:00||3767.960448576067||3697.386031184074||70.57441739199294||-322.0540157738091||785.2568663316041||0.0||0.0|| || 
2018-12-04 11:15:00||3782.364479564364||3709.5490399852542||72.8154395791098||-243.08012470322532||631.7911285646703||0.0||0.0|| || 
2018-12-04 11:30:00||3863.3509704006156||3753.9362718381985||109.41469856241702||-172.58116005009686||563.9917172250277||0.0||0.0|| || 
2018-12-04 11:45:00||3644.861919569752||3656.842632442776||-11.980712873024004||-140.46107061468228||256.96071548331656||0.0||0.0|| || 
2018-12-04 12:00:00||3769.561576559021||3715.9957478173856||53.565828741635414||-101.65569074341875||310.4430389701083||0.0||0.0|| || 
2018-12-04 12:15:00||4189.564861703787||3922.1873909420237||267.3774707617631||-27.849058442382372||590.453058408291||0.0||0.0|| || 
2018-12-04 12:30:00||4121.0024968262815||3908.9816205018737||212.0208763244077||20.124928510975646||383.7918956268641||0.0||0.0|| || 
2018-12-04 12:45:00||4037.8139142376226||3884.6331086128457||153.1808056247769||46.7361039337359||212.88940338208198||0.0||0.0|| || 
2018-12-04 13:00:00||3662.3140674318342||3715.1836124193014||-52.86954498746718||26.81497414949528||-159.36903827392493||0.0||0.0|| || 
2018-12-04 13:15:00||5070.76998167309||4389.412790017872||681.3571916552182||157.72341765063987||1047.2675480091566||0.0||0.0|| || 
2018-12-04 13:30:00||4900.5923829541525||4357.946330757289||542.6460521968638||234.70794455988465||615.8762152739583||0.0||0.0|| || 
2018-12-04 13:45:00||4667.87326557659||4286.0923892197125||381.78087635687734||264.1225309192832||235.31669087518833||0.0||0.0|| || 
2018-12-04 14:00:00||4200.039313949423||4089.119070018252||110.92024393117072||233.48207352166068||-245.12365918097993||0.0||0.0|| || 
2018-12-04 14:15:00||3928.724253341819||3966.702207053937||-37.97795371211805||179.19006807490493||-434.33604357404596||0.0||0.0|| || 
2018-12-04 14:30:00||3559.230682058462||3785.9847131980896||-226.7540311396274||98.00124823199847||-649.5105587432517||0.0||0.0|| || 
2018-12-04 14:45:00||3734.7712125110065||3853.707632961194||-118.9364204501876||54.61371449556127||-347.10026989149776||0.0||0.0|| || 
2018-12-04 15:00:00||4394.855395201621||4162.715837927031||232.1395572745896||90.11888305136694||284.04134844644534||0.0||0.0|| || 
2018-12-04 15:15:00||5295.029942093679||4613.328735117621||681.7012069760576||208.43534783630508||946.5317182795051||0.0||0.0|| || 
2018-12-04 15:30:00||6585.82163715619||5285.317418442242||1300.504218713948||426.8491220118337||1747.3101934042284||0.0||0.0|| || 
2018-12-04 15:45:00||7228.446471439854||5691.063021520595||1537.383449919259||648.9559875933187||1776.8549246518805||0.0||0.0|| || 
2018-12-04 16:00:00||7404.8536866029535||5889.880084370921||1514.9736022320321||822.1595105210614||1385.6281834219415||0.0||0.0|| || 
2018-12-04 16:15:00||9391.679528664037||6958.7202010841875||2432.9593275798497||1144.3194739328192||2577.279707294061||0.0||0.0|| || 
2018-12-04 16:30:00||9665.112735023416||7270.592435818693||2394.5202992047234||1394.3596389872||2000.3213204350468||0.0||0.0|| || 
2018-12-04 16:45:00||9469.942266558275||7353.993343535826||2115.948923022449||1538.6774957942498||1154.5428544563983||0.0||0.0|| || 
2018-12-04 17:00:00||9128.918236318541||7346.533545496135||1782.384690822406||1587.418934799881||389.93151204504966||0.0||0.0|| || 
2018-12-04 17:15:00||8621.49213688492||7234.24577101494||1387.246365869979||1547.3844210139007||-320.2761102878435||0.0||0.0|| || 
2018-12-04 17:30:00||7925.103632748777||7001.706592421241||923.3970403275362||1422.5869448766277||-998.3798090981832||0.0||0.0|| || 
2018-12-04 17:45:00||8151.051869248966||7178.896264834482||972.1556044144836||1332.500676784199||-720.6901447394307||0.0||0.0|| || 
2018-12-04 18:00:00||7771.293293979894||7068.061069661558||703.2322243183362||1206.6469862910265||-1006.8295239453805||0.0||0.0|| || 
2018-12-04 18:15:00||7004.992977982987||6751.192934131072||253.80004385191478||1016.0775978032041||-1524.5551079025786||0.0||0.0|| || 
2018-12-04 18:30:00||6780.205925985604||6661.762134565808||118.44379141979607||836.5508365265225||-1436.214090213453||0.0||0.0|| || 
2018-12-04 18:45:00||6397.557257372435||6486.297500894267||-88.74024352183187||651.4926205168516||-1480.465728077367||0.0||0.0|| || 
2018-12-04 19:00:00||6005.974123930521||6291.184122309506||-285.2099983789849||464.15209673768425||-1498.7241902333383||0.0||0.0|| || 
2018-12-04 19:15:00||5743.969960248903||6143.907302879173||-399.93734263027||291.3342088640934||-1382.5431029887268||0.0||0.0|| || 
2018-12-04 19:30:00||5535.400038672148||6013.859759702938||-478.4597210307902||137.37542288511668||-1231.6702878318138||0.0||0.0|| || 
2018-12-04 19:45:00||5829.422551184126||6119.984693799018||-290.56214261489185||51.78790978511497||-684.7001048000136||0.0||0.0|| || 
2018-12-04 20:00:00||5548.153331001953||5963.035651295387||-414.8823202934336||-41.546136230594755||-746.6723681256777||0.0||0.0|| || 
2018-12-04 20:15:00||5332.2984739247295||5828.373511199432||-496.0750372747025||-132.4519164394163||-727.2462416705723||0.0||0.0|| || 
2018-12-04 20:30:00||4853.198256397848||5560.949329629104||-707.7510732312558||-247.5117477977842||-920.4786508669431||0.0||0.0|| || 
2018-12-04 20:45:00||4544.528438490487||5359.904522989911||-815.376084499424||-361.08461513811216||-908.5829387226237||0.0||0.0|| || 
2018-12-04 21:00:00||4826.256540261182||5435.153158323992||-608.8966180628104||-410.6470157230518||-396.4992046795171||0.0||0.0|| || 
2018-12-04 21:15:00||4960.730635605615||5454.796491781474||-494.06585617585915||-427.33078381361327||-133.47014472449177||0.0||0.0|| || 
2018-12-04 21:30:00||5084.173499358597||5477.634473871736||-393.46097451313926||-420.55682195351847||54.191694880758405||0.0||0.0|| || 
2018-12-04 21:45:00||4932.945870226506||5375.675913584942||-442.730043358436||-424.991466234502||-35.47715424786793||0.0||0.0|| || 
2018-12-04 22:00:00||4513.934608653198||5141.13493257865||-627.2003239254518||-465.433237772692||-323.53417230551963||0.0||0.0|| || 
2018-12-04 22:15:00||4037.6758242450132||4865.36586423949||-827.690039994477||-537.884598217049||-579.6108835548562||0.0||0.0|| || 
2018-12-04 22:30:00||3584.227754361165||4585.728642443973||-1001.5008880828077||-630.6078561902007||-741.7860637852141||0.0||0.0|| || 
2018-12-04 22:45:00||3306.9229567671396||4378.026266707382||-1071.1033099402425||-718.706946940209||-704.792726000067||0.0||0.0|| || 
2018-12-04 23:00:00||3017.121577264503||4159.151283247576||-1142.0297059830737||-803.371498748782||-677.3164144685834||0.0||0.0|| || 
2018-12-04 23:15:00||3882.8558438391947||4491.391507451459||-608.5356636122642||-764.4043317214783||311.73733621842825||0.0||0.0|| || 
2018-12-04 23:30:00||4170.276455556242||4584.702493566165||-414.4260380099231||-694.4086729791672||559.9652699384883||0.0||0.0|| || 
2018-12-04 23:45:00||4273.451907009127||4603.681337746449||-330.2294307373213||-621.572824530798||582.6867875869534||0.0||0.0|| || 
2018-12-05 00:00:00||4036.480915161569||4465.122754209674||-428.6418390481049||-582.9866274342594||308.689576772309||0.0||0.0|| || 
2018-12-05 00:15:00||3834.9265912905585||4336.326832416365||-501.40024112580613||-566.6693501725687||130.53821809352507||0.0||0.0|| || 
2018-12-05 00:30:00||3450.167772630473||4113.931827792931||-663.7640551624577||-586.0882911705464||-155.3515279838225||0.0||0.0|| || 
2018-12-05 00:45:00||3353.0664937642464||4018.0116524008613||-664.9451586366149||-601.8596646637601||-126.17098794570961||0.0||0.0|| || 
2018-12-05 01:00:00||3116.589994723593||3854.897400371168||-738.3074056475748||-629.149212860523||-218.3163855741036||0.0||0.0|| || 
2018-12-05 01:15:00||2934.741409381502||3712.65123663997||-777.9098272584683||-658.901335740112||-238.01698303671265||0.0||0.0|| || 
2018-12-05 01:30:00||2614.578931015117||3500.8759820740465||-886.2970510589294||-704.3804788038755||-363.8331445101078||0.0||0.0|| || 
2018-12-05 01:45:00||2401.15145547433||3332.462971550043||-931.3115160757134||-749.766686258243||-363.08965963494074||0.0||0.0|| || 
2018-12-05 02:00:00||2266.8553977090482||3198.815868472262||-931.9604707632138||-786.2054431592371||-291.5100552079534||0.0||0.0|| || 
2018-12-05 02:15:00||2268.8999472922715||3130.7661722891316||-861.8662249968602||-801.3375995267618||-121.05725094019681||0.0||0.0|| || 
2018-12-05 02:30:00||2493.8242830934605||3175.2211321195664||-681.3968490261059||-777.3494494266306||191.90520080104943||0.0||0.0|| || 
2018-12-05 02:45:00||2828.3609549252355||3285.8205038144133||-457.45954888917777||-713.37146931914||511.82384085992453||0.0||0.0|| || 
2018-12-05 03:00:00||3446.680338782892||3549.643944272605||-102.96360548971325||-591.2898965532547||976.652582127083||0.0||0.0|| || 
2018-12-05 03:15:00||3332.8311143547544||3487.200717289449||-154.36960293469474||-503.9058378295427||699.0724697896959||0.0||0.0|| || 
2018-12-05 03:30:00||3335.9982259924845||3477.290837490231||-141.2926114977463||-431.3831925631834||580.1811621308742||0.0||0.0|| || 
2018-12-05 03:45:00||3342.713326609025||3470.0579147131766||-127.34458810415163||-370.57547167137704||486.46176713445084||0.0||0.0|| || 
2018-12-05 04:00:00||3759.7174055922515||3661.4047239936817||98.31268159856972||-276.7978410173877||750.2210452319149||0.0||0.0|| || 
2018-12-05 04:15:00||4329.134093962674||3942.8507355497054||386.28335841296894||-144.18160113131637||1060.9299190885706||0.0||0.0|| || 
2018-12-05 04:30:00||4637.70405181457||4120.03503810158||517.6690137129908||-11.811478162454932||1058.9609837508915||0.0||0.0|| || 
2018-12-05 04:45:00||4576.525745381559||4128.924669353314||447.6010760282452||80.07103267568509||735.0600867051202||0.0||0.0|| || 
2018-12-05 05:00:00||4313.792912245935||4035.5793108826983||278.2136013632371||119.69954641319549||317.0281099000832||0.0||0.0|| || 
2018-12-05 05:15:00||4197.6861488234845||4000.2844693358315||197.40167948765293||135.23997302808698||124.3234129191319||0.0||0.0|| || 
2018-12-05 05:30:00||4275.347721312179||4052.2994249405847||223.048296371594||152.8016376967884||140.49331734961123||0.0||0.0|| || 
2018-12-05 05:45:00||4162.750476494921||4014.6080327227633||148.14244377215755||151.86979891186223||-7.454710279409369||0.0||0.0|| || 
2018-12-05 06:00:00||5443.304097034164||4642.144401409965||801.1596956241992||281.7277782543296||1038.863834739739||0.0||0.0|| || 
2018-12-05 06:15:00||9087.957392875061||6456.322632416635||2631.634760458426||751.7091746951489||3759.8511715265545||0.0||0.0|| || 
2018-12-05 06:30:00||9410.296781663514||6806.458987052441||2603.8377946110722||1122.1348986783337||2963.405791865477||0.0||0.0|| || 
2018-12-05 06:45:00||9519.904716792204||7052.110051715224||2467.79466507698||1391.266851958063||2153.055626237834||0.0||0.0|| || 
2018-12-05 07:00:00||9000.546712670326||6984.848395291873||2015.6983173784529||1516.1531450421407||999.0903446726243||0.0||0.0|| || 
2018-12-05 07:15:00||8836.067121490276||7054.965504529512||1781.1016169607637||1569.1428394258653||423.9175550697969||0.0||0.0|| || 
2018-12-05 07:30:00||8280.729625876387||6919.514237527326||1361.215388349061||1527.5573492105045||-332.68392172288713||0.0||0.0|| || 
2018-12-05 07:45:00||8138.5801034338665||6951.902644377154||1186.677459056713||1459.381371179746||-545.4078242460664||0.0||0.0|| || 
2018-12-05 08:00:00||7586.284350597887||6773.884501089957||812.3998495079304||1329.985066845383||-1035.1704346749052||0.0||0.0|| || 
2018-12-05 08:15:00||6885.136196659751||6496.472415824034||388.66378083571635||1141.7208096434497||-1506.1140576154667||0.0||0.0|| || 
2018-12-05 08:30:00||6274.613503327481||6231.306954651884||43.306548675597696||922.0379574498793||-1757.4628175485632||0.0||0.0|| || 
2018-12-05 08:45:00||6148.959233584791||6174.014643196189||-25.055409611398318||732.6192840376237||-1515.3493872980441||0.0||0.0|| || 
2018-12-05 09:00:00||6155.8420238025155||6175.472622959434||-19.630599156918834||582.1693073987152||-1203.599813111268||0.0||0.0|| || 
2018-12-05 09:15:00||5988.886693986743||6093.6326049624395||-104.74591097569646||444.78626372383286||-1099.0643493990588||0.0||0.0|| || 
2018-12-05 09:30:00||5825.176008758013||6007.049985335592||-181.87397657757901||319.4542156635505||-1002.656384482259||0.0||0.0|| || 
2018-12-05 09:45:00||5747.825555102934||5956.335027903327||-208.50947280039236||213.8614779707619||-844.7419015423086||0.0||0.0|| || 
2018-12-05 10:00:00||5307.762640471714||5729.0077376882655||-421.2450972165516||86.84016293329921||-1016.1705202997016||0.0||0.0|| || 
2018-12-05 10:15:00||5512.034066552989||5796.157306007653||-284.12323945466323||12.64748245570673||-593.5414438207399||0.0||0.0|| || 
2018-12-05 10:30:00||5510.907168621761||5774.568559636715||-263.66139101495355||-42.61429223842533||-442.09419755305646||0.0||0.0|| || 
2018-12-05 10:45:00||6049.680070372259||6014.4472611451065||35.23280922715276||-27.04487194530971||124.55536234492493||0.0||0.0|| || 
2018-12-05 11:00:00||5874.333907238066||5932.631168467691||-58.29726122962529||-33.29534980217282||-50.00382285490494||0.0||0.0|| || 
2018-12-05 11:15:00||5815.473012278364||5899.972421914529||-84.49940963616518||-43.5361617689713||-81.92649573438777||0.0||0.0|| || 
2018-12-05 11:30:00||5670.882927312461||5824.095758069008||-153.2128307565472||-65.47149556648648||-175.48267038012142||0.0||0.0|| || 
2018-12-05 11:45:00||5692.8535415720835||5823.32510339723||-130.47156182514664||-78.47150881821851||-104.00010601385625||0.0||0.0|| || 
2018-12-05 12:00:00||5441.5559582533015||5692.665410552991||-251.1094522996891||-112.99909751451264||-276.22070957035294||0.0||0.0|| || 
2018-12-05 12:15:00||5460.436252368178||5683.15522236388||-222.71896999570163||-134.94307201075043||-175.5517959699024||0.0||0.0|| || 
2018-12-05 12:30:00||5191.248292003844||5537.048502929519||-345.80021092567495||-177.11449979373532||-337.37142226387925||0.0||0.0|| || 
2018-12-05 12:45:00||5130.220027080175||5482.049693082888||-351.82966600271266||-212.0575330355308||-279.5442659343637||0.0||0.0|| || 
2018-12-05 13:00:00||5498.677955221687||5633.393905447118||-134.7159502254317||-196.589216473511||123.74653249615858||0.0||0.0|| || 
2018-12-05 13:15:00||5435.340768264504||5592.919263562147||-157.5784952976428||-188.78707223833737||62.41715388138914||0.0||0.0|| || 
2018-12-05 13:30:00||5255.398310069964||5494.607821076062||-239.20951100609727||-198.87155999188934||-80.67590202841586||0.0||0.0|| || 
2018-12-05 13:45:00||5230.787496213046||5465.038946922279||-234.2514507092328||-205.94753813535803||-56.607825147749566||0.0||0.0|| || 
2018-12-05 14:00:00||5168.623589103347||5417.756217520629||-249.13262841728283||-214.584556191743||-69.09614445107968||0.0||0.0|| || 
2018-12-05 14:15:00||5047.909712318216||5341.180452519101||-293.2707402008846||-230.3217929935713||-125.89789441462653||0.0||0.0|| || 
2018-12-05 14:30:00||4744.533055038491||5173.386451591759||-428.8533965532688||-270.0281137055108||-317.650565695516||0.0||0.0|| || 
2018-12-05 14:45:00||4432.345780417184||4991.307141844222||-558.9613614270384||-327.81476324981634||-462.29319635444404||0.0||0.0|| || 
2018-12-05 15:00:00||4109.5637218914635||4794.489012818724||-684.9252909272609||-399.2368687853052||-571.3768442839114||0.0||0.0|| || 
2018-12-05 15:15:00||3911.922924677392||4648.59342223956||-736.6704975621678||-466.7235945406777||-539.8938060429803||0.0||0.0|| || 
2018-12-05 15:30:00||3574.15237011164||4431.394970221815||-857.2426001101753||-544.8273956545772||-624.8304089111962||0.0||0.0|| || 
2018-12-05 15:45:00||3822.1513331713877||4487.30242650168||-665.1510933302925||-568.8921351897202||-192.5179162811446||0.0||0.0|| || 
2018-12-05 16:00:00||4074.832678837328||4559.693363797852||-484.86068496052394||-552.085845143881||134.4503203667141||0.0||0.0|| || 
2018-12-05 16:15:00||4608.2490174777395||4780.607846479493||-172.3588290017533||-476.1404419154555||607.5632258274044||0.0||0.0|| || 
2018-12-05 16:30:00||4278.670802481164||4609.154718592124||-330.4839161109594||-447.00913675455627||233.05044128719373||0.0||0.0|| || 
2018-12-05 16:45:00||3853.0318482532925||4379.737154251966||-526.7053059986733||-462.94837060337966||-127.51387079058736||0.0||0.0|| || 
2018-12-05 17:00:00||3788.0281731374016||4309.423880603672||-521.3957074662703||-474.63783797595784||-93.51573898062497||0.0||0.0|| || 
